NUM_ANP	ID_ANP	ID_DOF	NOMBRE	CATEGORIA DE MANEJO	ESTADOS	REGION	SUPERFICIE	SUPERFICIE TERRESTRE	SUPERFICIE MARINA	PRIMER DECRETO	ÚLTIMA PUBLICACIÓN DE DECRETO	PROGRAMA DE MANEJO	CERTIFICADO SINAP	DESIGNACIONES INTERNACIONALES
1	ANP00603001	6.3.01.001	Desierto de los Leones	Parque Nacional	Ciudad de México	Centro y Eje Neovolcánico	1529	1529	0	1917-11-27	1917-11-27	2006-06-05		
2	ANP00603002	6.3.02.002	Iztaccíhuatl-Popocatépetl	Parque Nacional	Estado de México, Puebla y Morelos	Centro y Eje Neovolcánico	39819.086	39819.086	0	1935-11-08	1948-02-11	2013-04-02		UNESCO Reserva de la Biosfera MAB
3	ANP00607003	6.7.01.003	Nevado de Toluca	Área de Protección de Flora y Fauna	Estado de México	Centro y Eje Neovolcánico	53590.67863	53590.67863	0	1936-01-25	2013-10-01	2016-10-21		
4	ANP00603004	6.3.03.004	Grutas de Cacahuamilpa	Parque Nacional	Guerrero	Centro y Eje Neovolcánico	1600	1600	0	1936-04-23	1936-04-23	2009-04-22		
5	ANP00503005	5.3.01.005	Cerro de Garnica	Parque Nacional	Michoacán	Occidente y Pacífico Centro	1936	1936	0	1936-09-05	1936-09-05			
6	ANP00503006	5.3.02.006	Volcán Nevado de Colima	Parque Nacional	Jalisco y Colima	Occidente y Pacífico Centro	6554.75	6554.75	0	1936-09-05	1940-12-06	2009-12-14		
7	ANP00603007	6.3.04.007	Los Mármoles	Parque Nacional	Hidalgo	Centro y Eje Neovolcánico	23150	23150	0	1936-09-08	1936-09-08			
8	ANP00403008	4.3.01.008	El Potosí	Parque Nacional	San Luis Potosí	Noreste y Sierra Madre Oriental	2000	2000	0	1936-09-15	1936-09-15	2015-10-29		
9	ANP00603009	6.3.05.009	Insurgente Miguel Hidalgo y Costilla	Parque Nacional	Estado de México	Centro y Eje Neovolcánico	1889.96563	1889.96563	0	1936-09-18	1936-09-18	2019-05-21		
10	ANP00403010	4.3.02.010	Gogorrón	Parque Nacional	San Luis Potosí	Noreste y Sierra Madre Oriental	36499.66	36499.66	0	1936-09-22	1936-09-22	2016-08-08		
11	ANP00603011	6.3.06.011	Cumbres del Ajusco	Parque Nacional	Ciudad de México	Centro y Eje Neovolcánico	920	920	0	1936-09-23	1947-05-19			
12	ANP00603012	6.3.07.012	Fuentes Brotantes de Tlalpan	Parque Nacional	Ciudad de México	Centro y Eje Neovolcánico	129	129	0	1936-09-28	1936-09-28			
13	ANP00603013	6.3.08.013	Lagunas de Zempoala	Parque Nacional	Morelos y Estado de México	Centro y Eje Neovolcánico	4790	4790	0	1936-11-27	1947-05-19	2011-03-08	SINAP 032	
