anp_id,municipios_match,total_declaratorias_desastre,total_declaratorias_emergencia,poblacion_afectada_total,poblacion_atendida_total,costo_total_declaratorias_pesos,sectores_afectados,por_tipo_fenomeno,por_ano,eventos_detalle
alto_golfo_de_california_y_delta_del_rio_colorado,Mexicali; Puerto Peñasco; San Luis Río Colorado,3,5,49075,49075,74685266.83,Carretero; Educativo; Educativo y Naval; Hidráulico; Naval; Naval y Pesquero; Vial Urbano y Vivienda,Hidrometeorológico: 3D/5E,"2019: 1D/4E pob:46,592 $72.8M; 2020: 0D/1E pob:2,483 $1.9M; 2022: 1D/0E pob:0 $0.0M; 2023: 1D/0E pob:0 $0.0M","[D 2019] Sonora: Lluvia severa e inundación fluvial y pluvial del 27 al 29 de noviembre de 2019 | [D 2022] Baja California: Inundación pluvial y lluvia severa del 8 al 11 de septiembre de 2022 | [D 2023] Baja California: Lluvia severa, inundación fluvial y pluvial, y vientos fuertes del 18 al 20 de a | [E 2019] Sonora: Helada y nevada severa del 30 de diciembre de 2018 al 02 de enero de 2019 (pob:18,506 $19,484,036) | [E 2019] Sonora: Helada y nevada severa del 20 al 24 de febrero de 2019 (pob:9,207 $8,876,335) | [E 2019] Sonora: Lluvia severa e inundación pluvial los días 24 y 25 de septiembre de 2019 por Fr (pob:12,071 $22,274,732) | [E 2019] Sonora: Lluvia severa e inundación fluvial y pluvial los días 27, 28 y 29 de noviembre d (pob:6,808 $22,179,262) | [E 2020] Sonora: Helada severa del 5 al 7 de febrero y lluvia severa e inundación pluvial el 10 d (pob:2,483 $1,870,902)"
arrecife_de_puerto_morelos,Benito Juárez; Puerto Morelos,3,2,26715,26715,39995524.52,Deportivo; Educativo; Hidráulico; Naval; Salud; Turístico; Vial Urbano y Vivienda,Hidrometeorológico: 3D/2E,"2019: 1D/0E pob:0 $0.0M; 2020: 2D/2E pob:26,715 $40.0M","[D 2019] Quintana Roo: Sequía severa ocurrida del 1 de mayo al 30 de noviembre del 2019 en 9 municipios | [D 2020] Quintana Roo: Huracán Delta (lluvia severa y vientos fuertes) los días 5 y 6 de octubre de 202 | [D 2020] Quintana Roo: Lluvia severa el 26 de octubre de 2020 | [E 2020] Quintana Roo: Vientos fuertes y lluvia severa los días 5 y 6 de octubre de 2020 (pob:20,308 $29,241,840) | [E 2020] Quintana Roo: Lluvia severa el 26 de octubre de 2020 (pob:6,407 $10,753,684)"
arrecifes_de_cozumel,Cozumel,2,2,26715,26715,39995524.52,Deportivo; Educativo; Naval; Salud; Turístico; Vial Urbano y Vivienda,Hidrometeorológico: 2D/2E,"2020: 2D/2E pob:26,715 $40.0M","[D 2020] Quintana Roo: Huracán Delta (lluvia severa y vientos fuertes) los días 5 y 6 de octubre de 202 | [D 2020] Quintana Roo: Lluvia severa el 26 de octubre de 2020 | [E 2020] Quintana Roo: Vientos fuertes y lluvia severa los días 5 y 6 de octubre de 2020 (pob:20,308 $29,241,840) | [E 2020] Quintana Roo: Lluvia severa el 26 de octubre de 2020 (pob:6,407 $10,753,684)"
arrecifes_de_sian_kaan,Felipe Carrillo Puerto; Tulum,3,2,12452,12452,33365507.84,Carretero; Deportivo; Educativo; Hidráulico; Naval; Salud; Vial Urbano y Vivienda,Hidrometeorológico: 3D/2E,"2019: 1D/0E pob:0 $0.0M; 2020: 2D/2E pob:12,452 $33.4M","[D 2019] Quintana Roo: Sequía severa ocurrida del 1 de mayo al 30 de noviembre del 2019 en 9 municipios | [D 2020] Quintana Roo: Inundación pluvial ocurrida del 3 al 5 de junio de 2020 | [D 2020] Quintana Roo: Lluvia severa el 26 de octubre de 2020 | [E 2020] Quintana Roo: Lluvia severa e inundación pluvial del 3 al 5 de junio de 2020 (T.T. Cristóbal) (pob:6,045 $22,611,824) | [E 2020] Quintana Roo: Lluvia severa el 26 de octubre de 2020 (pob:6,407 $10,753,684)"
arrecifes_de_xcalak,Othón P. Blanco,2,1,6045,6045,22611823.6,Carretero; Educativo; Hidráulico; Naval; Salud; Vial Urbano y Vivienda,Hidrometeorológico: 2D/1E,"2019: 1D/0E pob:0 $0.0M; 2020: 1D/1E pob:6,045 $22.6M","[D 2019] Quintana Roo: Sequía severa ocurrida del 1 de mayo al 30 de noviembre del 2019 en 9 municipios | [D 2020] Quintana Roo: Inundación pluvial ocurrida del 3 al 5 de junio de 2020 | [E 2020] Quintana Roo: Lluvia severa e inundación pluvial del 3 al 5 de junio de 2020 (T.T. Cristóbal) (pob:6,045 $22,611,824)"
bahia_de_loreto,Loreto,2,0,0,0,0,Carretero; Deportivo; Educativo; Hidráulico; Naval,Hidrometeorológico: 2D/0E,2020: 1D/0E pob:0 $0.0M; 2023: 1D/0E pob:0 $0.0M,[D 2020] Baja California Sur: Sequía severa del 1 de mayo al 30 de noviembre de 2020 | [D 2023] Baja California Sur: Lluvia severa e inundación pluvial el 19 de agosto de 2023
bajos_de_coyula,Santa María Huatulco,3,4,56109,56109,270032123.03,Carretero; Educativo; Hidráulico; Militar; Monumentos Arqueológicos; Naval; Naval y Turístico; Pesquero y Acuíola; Salud; Turístico; Vial Urbano y Vivienda,Hidrometeorológico: 2D/2E; Geológico: 1D/2E,"2019: 1D/1E pob:5,507 $31.2M; 2020: 1D/2E pob:26,986 $162.4M; 2022: 1D/1E pob:23,616 $76.5M","[D 2019] Oaxaca: Lluvia severa, inundación fluvial y pluvial ocurridas los días 28, 29 y 30 de se | [D 2020] Oaxaca: Sismo magnitud 7.4 el día 23 de junio de 2020 | [D 2022] Oaxaca: Lluvia severa, vientos fuertes, inundación pluvial e inundación fluvial del 29 a | [E 2019] Oaxaca: Lluvia severa e inundación fluvial y pluvial el 28 y 29 de septiembre por el hur (pob:5,507 $31,196,865) | [E 2020] Oaxaca: Sismo de magnitud 7.4 (pob:26,125 $135,962,301) | [E 2020] Oaxaca: Movimiento de ladera los días 27 y 28 de agosto de 2020 (pob:861 $26,416,308) | [E 2022] Oaxaca: Impacto inminente del huracán ""Agatha"" -extraordinario- el día 30 de mayo de 202 (pob:23,616 $76,456,649)"
balaan_kaax,Bacalar; Hopelchén; José María Morelos; Tekax,5,5,178501,178501,350787906.92,Carretero; Deportivo; Educativo; Hidráulico; Monumentos Arqueológicos; Naval; Pesquero y Acuícola; Residuos Sólidos; Salud; Vial Urbano; Vial Urbano y Vivienda; Vivienda y Zonas Costeras,Hidrometeorológico: 5D/5E,"2019: 1D/0E pob:0 $0.0M; 2020: 4D/5E pob:178,501 $350.8M","[D 2019] Quintana Roo: Sequía severa ocurrida del 1 de mayo al 30 de noviembre del 2019 en 9 municipios | [D 2020] Quintana Roo: Inundación pluvial ocurrida del 3 al 5 de junio de 2020 | [D 2020] Campeche: Lluvia severa ocurrida del 30 de mayo al 5 de junio de 2020 | [D 2020] Yucatán: Lluvia severa del 31 de mayo al 5 de junio de 2020 e inundación pluvial del 31 d | [D 2020] Yucatán: Lluvia severa, Huracán ""Delta"" Categoría 2 e inundación pluvial del 1 al 8 de oc | [E 2020] Quintana Roo: Lluvia severa e inundación pluvial del 3 al 5 de junio de 2020 (T.T. Cristóbal) (pob:6,045 $22,611,824) | [E 2020] Yucatán: Lluvia severa e inundación pluvial del 31 de mayo al 4 de junio de 2020 (T.T. Cr (pob:48,060 $116,670,503) | [E 2020] Campeche: Lluvia severa del 30 de mayo al 5 de junio de 2020 (T.T. Cristóbal) (pob:28,484 $27,861,401) | [E 2020] Yucatán: Lluvia severa e inundación pluvial del 1 al 7 de junio de 2020 (T.T. Cristóbal) (pob:56,000 $96,266,968) | [E 2020] Yucatán: Lluvia severa e inundación pluvial del 1 al 8 de octubre de 2020 (pob:39,912 $87,377,212)"
balam_kin,Calakmul; Escárcega; Hopelchén,1,1,28484,28484,27861400.86,Carretero; Deportivo; Educativo; Hidráulico; Naval; Vial Urbano y Vivienda,Hidrometeorológico: 1D/1E,"2020: 1D/1E pob:28,484 $27.9M","[D 2020] Campeche: Lluvia severa ocurrida del 30 de mayo al 5 de junio de 2020 | [E 2020] Campeche: Lluvia severa del 30 de mayo al 5 de junio de 2020 (T.T. Cristóbal) (pob:28,484 $27,861,401)"
balam_ku,Calakmul; Escárcega,1,1,28484,28484,27861400.86,Carretero; Deportivo; Educativo; Hidráulico; Naval; Vial Urbano y Vivienda,Hidrometeorológico: 1D/1E,"2020: 1D/1E pob:28,484 $27.9M","[D 2020] Campeche: Lluvia severa ocurrida del 30 de mayo al 5 de junio de 2020 | [E 2020] Campeche: Lluvia severa del 30 de mayo al 5 de junio de 2020 (T.T. Cristóbal) (pob:28,484 $27,861,401)"
